
RANK	CHARACTER	MAX FALL SPEED	FAST FALL SPEED	SPEED INCREASE
1	Fox	2.1	3.36	60%
2-4	Little Mac	1.95	3.12	60%
2-4	King Dedede	1.95	3.12	60%
2-4	Piranha Plant	1.95	2.73	40%
5	Mii Brawler	1.92	3.072	60%
6	Pichu	1.9	2.5	31.579%
7	Captain Falcon	1.865	2.984	60%
8-10	Richter	1.85	2.96	60%
8-10	Simon	1.85	2.96	60%
8-10	Greninja	1.85	2.96	60%
11-16	Wolf	1.8	2.88	60%
11-16	Falco	1.8	2.88	60%
11-16	Roy	1.8	2.88	60%
11-16	Chrom	1.8	2.88	60%
11-16	Young Link	1.8	2.88	60%
11-16	Mega Man	1.8	2.88	60%
17	Ridley	1.78	2.848	60%
18-19	Bowser	1.77	2.832	60%
18-19	Bayonetta	1.77	2.832	60%
20	Incineroar	1.76	2.816	60%
21-22	Sheik	1.75	2.8	60%
21-22	Diddy Kong	1.75	2.8	60%
23	Snake	1.73	2.768	60%
24-25	Zero Suit Samus	1.7	2.72	60%
24-25	King K. Rool	1.7	2.72	60%
26-27	Cloud	1.68	2.688	60%
26-27	Lucario	1.68	2.688	60%
28	Meta Knight	1.66	2.656	60%
29-34	Sonic	1.65	2.64	60%
29-34	Corrin	1.65	2.64	60%
29-34	Ganondorf	1.65	2.64	60%
29-34	Ike	1.65	2.64	60%
29-34	Duck Hunt	1.65	2.64	60%
29-34	Bowser Jr	1.65	2.64	60%
35	Donkey Kong	1.63	2.608	60%
36	Wario	1.61	2.576	60%
37-40	Link	1.6	3.04	90%
37-40	R.O.B.	1.6	2.56	60%
37-40	Ken	1.6	2.24	40%
37-40	Ryu	1.6	2.24	40%
41-44	Lucina	1.58	2.528	60%
41-44	Marth	1.58	2.528	60%
41-44	Shulk	1.58	2.528	60%
41-44	Inkling	1.58	2.528	60%
45-48	Palutena	1.55	2.48	60%
45-48	Mewtwo	1.55	2.48	60%
45-48	Pikachu	1.55	2.48	60%
45-48	Mii Swordfighter	1.55	2.48	60%
49	Charizard	1.52	2.432	60%
50-52	Mario	1.5	2.4	60%
50-52	Dr. Mario	1.5	2.4	60%
50-52	Robin	1.5	2.4	60%
53-54	Pit	1.48	2.368	60%
53-54	Dark Pit	1.48	2.368	60%
55	Mii Gunner	1.45	2.32	60%
56-57	Ivysaur	1.38	2.208	60%
56-57	Toon Link	1.38	2.208	60%
58	Lucas	1.37	2.192	60%
59-62	Olimar	1.35	2.16	60%
59-62	PAC-MAN	1.35	2.16	60%
59-62	Squirtle	1.35	2.16	60%
59-62	Zelda	1.35	2.16	60%
63-64	Samus	1.33	2.168	60%
63-64	Dark Samus	1.33	2.168	60%
65-66	Luigi	1.32	2.112	60%
65-66	Villager	1.32	2.112	60%
67	Ness	1.31	2.096	60%
68-70	Ice Climbers	1.3	2.08	60%
68-70	Wii Fit Trainer	1.3	2.08	60%
68-70	Isabelle	1.3	2.08	60%
71	Yoshi	1.29	2.064	60%
72	Mr. Game & Watch	1.24	1.984	60%
73	Kirby	1.23	1.968	60%
74	Rosalina	1.2	1.92	60%
75-76	Peach	1.19	1.904	60%
75-76	Daisy	1.19	1.904	60%
77	Jigglypuff	0.98	1.568	60%
